253
2/20/18,128.36
2/19/18,137.47
2/18/18,127.38
2/17/18,136.75
2/16/18,128.85
2/15/18,123.29
2/14/18,122.52
2/13/18,111.17
2/12/18,113.25
2/11/18,103.4
2/10/18,110.63
2/9/18,117.57
2/8/18,112.43
2/7/18,102.5
2/6/18,105.95
2/5/18,82.37
2/4/18,107.45
2/3/18,122.97
2/2/18,120.13
2/1/18,126
1/31/18,145.76
1/30/18,146.28
1/29/18,168.14
1/28/18,152.16
1/27/18,140.2
1/26/18,137.89
1/25/18,138
1/24/18,136.41
1/23/18,121.6
1/22/18,123.66
1/21/18,131.09
1/20/18,149.94
1/19/18,139.5
1/18/18,142.66
1/17/18,141.37
1/16/18,145.3
1/15/18,187.41
1/14/18,170.42
1/13/18,140.62
1/12/18,124.47
1/11/18,108.3
1/10/18,122.99
1/9/18,126.94
1/8/18,102.38
1/7/18,102.43
1/6/18,100.86
1/5/18,95.28
1/4/18,99.11
1/3/18,105.56
1/2/18,90.33
1/1/18,78.82
12/31/17,75.96
12/30/17,72.4
12/29/17,73.9
12/28/17,65.43
12/27/17,66.88
12/26/17,65.52
12/25/17,66.32
12/24/17,59.7
12/23/17,58.9
12/22/17,55.57
12/21/17,71.37
12/20/17,75.62
12/19/17,70.81
12/18/17,77.22
12/17/17,68.11
12/16/17,49.81
12/15/17,47.99
12/14/17,50.62
12/13/17,44.81
12/12/17,40.41
12/11/17,35.88
12/10/17,33.31
12/9/17,35.71
12/8/17,36.27
12/7/17,34.86
12/6/17,35.16
12/5/17,38.82
12/4/17,42.17
12/3/17,36.62
12/2/17,35.07
12/1/17,35.84
11/30/17,32.96
11/29/17,32.28
11/28/17,38.08
11/27/17,40.13
11/26/17,38.44
11/25/17,38.13
11/24/17,34.79
11/23/17,34.9
11/22/17,35.86
11/21/17,34.36
11/20/17,35.64
11/19/17,39.75
11/18/17,42.74
11/17/17,40.5
11/16/17,28.7
11/15/17,29.35
11/14/17,29.73
11/13/17,28.4
11/12/17,26.96
11/11/17,28.53
11/10/17,28.18
11/9/17,31.9
11/8/17,30.67
11/7/17,26.23
11/6/17,26.32
11/5/17,26.38
11/4/17,26.49
11/3/17,26.82
11/2/17,24.5
11/1/17,26.86
10/31/17,28.47
10/30/17,28.79
10/29/17,27.76
10/28/17,27.35
10/27/17,28.76
10/26/17,28.33
10/25/17,28.54
10/24/17,30.15
10/23/17,27.51
10/22/17,28.79
10/21/17,27.13
10/20/17,27.75
10/19/17,28.66
10/18/17,29.67
10/17/17,31.4
10/16/17,28.53
10/15/17,27.73
10/14/17,27.8
10/13/17,29.35
10/12/17,28.18
10/11/17,29.96
10/10/17,29.31
10/9/17,29.1
10/8/17,32.07
10/7/17,36.14
10/6/17,33.52
10/5/17,32.28
10/4/17,31.16
10/3/17,33.61
10/2/17,36.74
10/1/17,35.72
9/30/17,34.21
9/29/17,28.64
9/28/17,29.76
9/27/17,31.79
9/26/17,26.38
9/25/17,26.02
9/24/17,19.79
9/23/17,20.18
9/22/17,18.69
9/21/17,17.45
9/20/17,19.75
9/19/17,19.94
9/18/17,21.22
9/17/17,19.86
9/16/17,20.76
9/15/17,18.74
9/14/17,15.69
9/13/17,20.06
9/12/17,20.97
9/11/17,21.88
9/10/17,22.75
9/9/17,21.96
9/8/17,24.86
9/7/17,30.78
9/6/17,21.36
9/5/17,22.8
9/4/17,21.83
9/3/17,30.32
9/2/17,31.72
9/1/17,32.01
8/31/17,33.16
8/30/17,33.1
8/29/17,33.66
8/28/17,38.45
8/27/17,40.09
8/26/17,38.59
8/25/17,40.3
8/24/17,42.05
8/23/17,40
8/22/17,35.85
8/21/17,35.3
8/20/17,38.19
8/19/17,39.97
8/18/17,38.85
8/17/17,40.69
8/16/17,45.54
8/15/17,47.49
8/14/17,47.43
8/13/17,46.65
8/12/17,36.61
8/11/17,33.5
8/10/17,36.18
8/9/17,21.75
8/8/17,18.27
8/7/17,18.68
8/6/17,15.21
8/5/17,14.02
8/4/17,10.43
8/3/17,10.67
8/2/17,8.11
8/1/17,7.86
7/31/17,7.33
7/30/17,7.15
7/29/17,7.26
7/28/17,7.09
7/27/17,7.72
7/26/17,7.17
7/25/17,7.35
7/24/17,8.46
7/23/17,8.57
7/22/17,8.62
7/21/17,7.42
7/20/17,7.21
7/19/17,5.88
7/18/17,6.02
7/17/17,5.77
7/16/17,5.04
7/15/17,5.03
7/14/17,5.54
7/13/17,6.29
7/12/17,6.63
7/11/17,5.4
7/10/17,6.03
7/9/17,6.9
7/8/17,7.45
7/7/17,6.77
7/6/17,7.84
7/5/17,8.03
7/4/17,7.78
7/3/17,8.22
7/2/17,8.1
7/1/17,7.95
6/30/17,8.73
6/29/17,9.77
6/28/17,8.38
6/27/17,6.83
6/26/17,5.53
6/25/17,5.95
6/24/17,6.3
6/23/17,6.84
6/22/17,6.94
6/21/17,10.15
6/20/17,8
6/19/17,11.72
6/18/17,5.26
6/17/17,3.76
6/16/17,2.77
6/15/17,1.78
6/14/17,1.74
6/13/17,1.81
